donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_el_ultimo_semestre,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,pluriempleo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,vibe_coding,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,cual_es_la_cantidad_maxima_de_entrevistas_que_consideras_aceptable_en_un_proceso_de_seleccion,cual_es_la_combinacion_de_entrevistas_que_consideras_mejor_en_tu_experiencia_como_candidatoa,desafios_tecnicoscomo_los_preferiselegi_todas_las_opciones_que_consideres,cuantas_horas_te_parecen_correctas_dedicarle_a_un_desafio_tecnico_asincronico,cual_de_las_siguientes_frases_representa_mejor_tu_opinion_acerca_de_los_procesos_de_seleccion,salir_o_seguir_contestando_sobre_las_guardias1,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3502800.0,3142092.0,,,Un sueldo,Performance individual,Dos,33.0,Abril,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,"No, estoy muy conforme.",,Developer,15,1,1,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Windows Server",".NET, C#, SQL, TypeScript",".NET Core, Angular, Bootstrap, Next.js, Node.js","ElasticSearch, Microsoft SQL Server, MySQL, PostgreSQL, Redis",Xunit,De 501 a 1000 personas,100% remoto,0,,No sé,9,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,34,Hombre Cis,Sí,False,Senior,3502800.0
Santa Fe,Full-Time,Staff (planta permanente),4500000.0,3700000.0,,,Un sueldo,Performance de la compañía,Dos,15.0,Marzo,1,"Abono de Internet, Horarios flexibles",1,"Sí, estoy buscando activamente.",,Developer,22,14,4,5,"Amazon Web Services, Azure, SAP",Java,"Hibernate, SAP, SAP Hana","HANA, PostgreSQL","Puppeteer, SoapUI",De 5001 a 10000 personas,100% remoto,0,,Sí,5,3,Hype,Terminar encuesta,,,,,,,,,,,,,,,43,Hombre Cis,Sí,False,Senior,4500000.0
Córdoba,Full-Time,Staff (planta permanente),1293235.0,1287025.0,,,Menos de un sueldo,Performance individual,No,0.0,No tuve,3,Ninguna de las anteriores,3,"No, estoy muy conforme.",,Developer,1,1,1,0,"Ninguna de las anteriores, Protheus ERP","SQL, ADVPL",Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,,No,9,3,Vibequé?,Responder sobre guardias,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres",Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,26,Hombre Cis,Sí,False,Junior,1293235.0
Santiago del Estero,Full-Time,Staff (planta permanente),2541000.0,2132333.0,,,Menos de un sueldo,Performance de la compañía,Dos,18.0,Mayo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",3,"Sí, estoy buscando activamente.",,Developer,4,3,3,0,Firebase,Dart,Flutter,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,No sé,9,4,Vibequé?,Responder sobre entrevistas técnicas,,,,,,Hasta 2,HR,"Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a","Más de 8 horas, sin problemas","Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,,,,28,Hombre Cis,Sí,False,Semi-Senior,2541000.0
Córdoba,Full-Time,Contractor,2470000.0,2370000.0,,,No,No recibo bono,Dos,10.0,Junio,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Tengo dos trabajos full time,Developer,16,10,16,0,Ninguna de las anteriores,"C, SQL","Ninguno de los anteriores, Oracle JD Edwards","Microsoft SQL Server, Oracle",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,Ajuste segun lo que el cliente determina como justo.,Sí,3,1,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,43,Hombre Cis,Sí,False,Senior,2470000.0
Mendoza,Full-Time,Staff (planta permanente),4000000.0,3200000.0,,,Un sueldo,Votado por decisión colectiva,Uno,10.0,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Data Scientist,4,1,1,0,"Amazon Web Services, Azure, Docker, Linux","Bash/Shell, Python, SQL","pandas, skit-learn, etc","Amazon Redshift, Microsoft Azure (Tables, CosmosDB, SQL, etc), Teradata",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,actualizaciones de paritarias,No,10,4,Hype,Responder sobre mis estudios,Posgrado/Especialización,Completo,Ingeniería Mecánica,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Hasta 2,"HR, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,,,,36,Hombre Cis,Sí,False,Semi-Senior,4000000.0
Mendoza,Full-Time,Staff (planta permanente),1800000.0,1500000.0,,,De uno a tres sueldos,Performance grupal,Dos,10.0,Mayo,2,"Estacionamiento gratuito / subvencionado, Guardería o pago para cubrir costo de guardería",2,"No, pero escucho ofertas.",,Networking,10,7,4,0,"Docker, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,,No,4,3,Vibequé?,Responder sobre guardias,Terciario,Incompleto,Telecomunicaciones,UNCUYO - Universidad Nacional de Cuyo,Responder sobre entrevistas técnicas,Entre 2 y 4,Técnica - Diseño & Arquitectura,"Sincrónicos, prefiero el desafío en tiempo real",Menos de 2 horas,,Terminar encuesta,"Sí, pasiva",0.0,Neto,35,Hombre Cis,Sí,False,Senior,1800000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4370000.0,3890000.0,,,Menos de un sueldo,Mix de las anteriores,Dos,14.0,Abril,3,Vacaciones flexibles (adicionales a las reglamentarias),3,"No, pero escucho ofertas.",,Manager / Director,6,3,3,0,Azure,"Python, SQL",Spark,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Por IPC,Sí,7,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,31,Mujer Cis,Sí,False,Senior,4370000.0
Santa Fe,Full-Time,Freelance,3000000.0,3000000.0,,,No,No recibo bono,Uno,10.0,Abril,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,Developer,14,0,0,2,Windows Server,".NET, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap, .net framework / devexpress",Microsoft SQL Server,Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),4,,No,7,4,Hype,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,,Responder sobre entrevistas técnicas,Hasta 2,"HR, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,38,Hombre Cis,Sí,False,Senior,3000000.0
Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1800000.0,,,No,No recibo bono,Tres,8.0,Mayo,1,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Viáticos",2,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,9,9,9,0,Google Cloud Platform,"CSS, HTML, Javascript, SQL","Bootstrap, Node.js, React.js",Microsoft SQL Server,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,no,No,6,2,Vibequé?,Responder sobre mis estudios,Terciario,En curso,Tecnicatura Superior en Programación,,Terminar encuesta,,,,,,,,,,32,Hombre Cis,Sí,False,Senior,2200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3509954.0,3398173.0,,,No,No recibo bono,Dos,11.0,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",2,"No, pero escucho ofertas.",,Technical Leader,20,2,2,2,"Docker, Linux",C#,.NET Core,Oracle,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,cada 3 meses,No sé,4,0,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,41,Hombre Cis,Sí,False,Senior,3509954.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),9200000.0,6900000.0,,,3+ sueldos,Performance individual,Más de tres,12.9,Mayo,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Estacionamiento gratuito / subvencionado, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Manager / Director,17,7,1,5,"Amazon Web Services, Kubernetes, Linux","Java, Python, SQL",SwiftUI,"Amazon DynamoDB, PostgreSQL","Postman, Silktest",Más de 10000 personas,Híbrido (presencial y remoto),3,Aumento todos los meses por convenio bancario,Sí,6,4,Llegó para quedarse,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,Responder sobre entrevistas técnicas,"Me da igual, no tengo una opinión al respecto","Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres",Hasta 4 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,,,,41,Hombre Cis,Sí,False,Senior,9200000.0
Santa Fe,Full-Time,Staff (planta permanente),1900000.0,1580000.0,,,No,No recibo bono,Dos,20.0,Abril,3,"Abono de Internet, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,4,1,1,0,Windows Server,".NET, C#, SQL",".NET Core, ",Microsoft SQL Server,MTest,De 11  a 50  personas,100% remoto,0,,No,8,0,Hype,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Computación,,Terminar encuesta,,,,,,,,,,53,Hombre Cis,Sí,False,Semi-Senior,1900000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,1065000.0,,,No,No recibo bono,Uno,5.0,Marzo,1,"Abono de celular, Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",1,"Sí, estoy buscando activamente.",,BI Analyst / Data Analyst,3,7,3,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,,No,5,3,Vibequé?,Responder sobre mis estudios,Terciario,En curso,Licenciatura en Ciencia de Datos,,Terminar encuesta,,,,,,,,,,30,Hombre Cis,Sí,False,Semi-Senior,1300000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,2100000.0,,,De uno a tres sueldos,Mix de las anteriores,Uno,14.0,Febrero,2,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Viáticos",3,"No, pero escucho ofertas.",,Data Engineer,4,1,1,0,Google Cloud Platform,"Python, SQL",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,"Solo una, por performance, 14%",No,10,4,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,33,Hombre Cis,Sí,False,Semi-Senior,2800000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3711000.0,2830131.0,,,Un sueldo,Mix de las anteriores,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas",2,"No, pero escucho ofertas.",,Developer,4,1,1,0,Amazon Web Services,Go,Ninguno de los anteriores,Amazon DynamoDB,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,Sí,6,3,Hype,Responder sobre guardias,Universitario,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,,,"Sí, pasiva",0.0,Neto,27,Hombre Cis,Sí,False,Semi-Senior,3711000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1458000.0,1210000.0,,,No,No recibo bono,Dos,25.0,Mayo,1,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",1,"No, pero escucho ofertas.",,Developer,3,3,3,0,"Ninguna de las anteriores, Salesforce","Javascript, PHP, Python, SQL, Apex",Node.js,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),2,,No sé,6,4,Vibequé?,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Informática,UP - Universidad de Palermo,Responder sobre entrevistas técnicas,Hasta 2,Técnica - Coding,"Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres",Hasta 4 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,32,Hombre Cis,Sí,False,Semi-Senior,1458000.0
Córdoba,Full-Time,Staff (planta permanente),2344000.0,1965000.0,,,No,No recibo bono,Dos,16.0,Mayo,3,"Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",,Data Scientist,4,2,2,1,"Azure, Docker, Linux, Serverless","Python, SQL","Flask, Spark, Torch","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, SQLite","Postman, MLFlow",De 101 a 200 personas,100% remoto,0,"Si, dos por inflación.",Sí,7,4,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,25,Mujer Cis,No,False,Semi-Senior,2344000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2400000.0,1900000.0,,,No,No recibo bono,Uno,6.0,Abril,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",2,"Sí, estoy buscando activamente.",,Developer,3,4,2,0,Azure,TypeScript,"Node.js, React-Native",MongoDB,Jest,De 501 a 1000 personas,100% remoto,0,,No,9,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,41,Hombre Cis,No,False,Semi-Senior,2400000.0
Córdoba,Full-Time,Staff (planta permanente),1860000.0,1600000.0,,,No,No recibo bono,Uno,15.0,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",,Developer,3,3,2,0,"Docker, Linux","Groovy, HTML, Java, Javascript, Python, SQL","Angular, Bootstrap, Cordova, Django, Node.js, React.js, Fastapi",PostgreSQL,"Postman, SoapUI",De 101 a 200 personas,100% remoto,0,Ajuste por inflación. 15%,No,8,5,Vibequé?,Responder sobre guardias,Terciario,Incompleto,Tecnicatura Superior en Programación,ISSD - Instituto Superior Santo Domingo,Terminar encuesta,Entre 2 y 4,"HR, Técnica - Coding, Lider del sector",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,"Más de 8 horas, sin problemas","Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Responder sobre mis estudios,"Sí, pasiva",350000.0,Neto,50,Mujer Cis,Sí,False,Semi-Senior,1860000.0
Córdoba,Full-Time,Staff (planta permanente),1600000.0,1470848.0,,,No,No recibo bono,Tres,75.0,Mayo,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",,Developer,3,2,2,0,"Docker, Linux","CSS, HTML, Javascript, Python, SQL, TypeScript","Bootstrap, Node.js, Odoo","MongoDB, MySQL, PostgreSQL, Redis","Jest, Postman, gattling",De 11  a 50  personas,Híbrido (presencial y remoto),3,"Si, ajuste por inflación cada 2 meses",Sí,2,5,Hype,Responder sobre guardias,Terciario,En curso,Desarrollo Web,,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, En plataformas tipo HackerRank o similares","Más de 8 horas, sin problemas","Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,40,Hombre Cis,Sí,False,Semi-Senior,1600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2460000.0,,,De uno a tres sueldos,Mix de las anteriores,Dos,15.0,Junio,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,5,3,3,4,"Linux, OpenShift","PHP, SQL",Magento,MariaDB,PHPUnit,Más de 10000 personas,100% remoto,0,Ajustes por inflación,No,8,4,Hype,Responder sobre mis estudios,Universitario,En curso,Tecnicatura Superior en Sistemas Informáticos,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,Hasta 2,"HR, Técnica - Diseño & Arquitectura",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Responder sobre mis estudios,No,0.0,Porcentaje de mi sueldo bruto,40,Hombre Cis,Sí,False,Semi-Senior,3000000.0
Santa Fe,Full-Time,Staff (planta permanente),2100000.0,1700000.0,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,12.0,Mayo,2,"Abono de celular, Horarios flexibles, Lactario en la oficina",3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,15,8,6,0,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% presencial,0,Paritarias,Sí,7,0,Vibequé?,Responder sobre mis estudios,Terciario,Completo,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,Entre 2 y 4,"HR, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres",Menos de 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Bruto,42,Hombre Cis,Sí,False,Senior,2100000.0
Mendoza,Full-Time,Staff (planta permanente),2001539.0,1701870.0,,,No,No recibo bono,Tres,10.0,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Club de beneficios y descuentos",4,"No, pero escucho ofertas.",,Developer,2,1,1,0,Linux,"CSS, HTML, Javascript, PHP","Next.js, Node.js, React.js","MongoDB, MySQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,Actualización por inflación por convenio,No,8,4,Vibequé?,Responder sobre guardias,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,33,Agénero,Sí,False,Junior,2001539.0
Entre Ríos,Full-Time,Freelance,1900000.0,1800000.0,,,Menos de un sueldo,Performance grupal,Tres,10.0,Junio,3,Horarios flexibles,2,"No, pero escucho ofertas.",,Developer,4,4,2,0,"Docker, Linux, Windows Server",".NET, C#, Javascript, PHP, SQL, TypeScript",".NET Core, Laravel, Next.js, Node.js, React.js, WordPress","MariaDB, Microsoft SQL Server",Postman,De 2 a 10 personas,100% remoto,0,,No,6,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,25,Hombre Cis,Sí,False,Semi-Senior,1900000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1153881.0,1037531.0,,,No,No recibo bono,Uno,40.0,Mayo,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,1,0,0,0,Ninguna de las anteriores,".NET, C#, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery",Microsoft SQL Server,"NUnit, Selenium, Xunit",De 51 a 100 personas,100% presencial,0,Si,No sé,10,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,27,Hombre Cis,Sí,False,Junior,1153881.0
Corrientes,Full-Time,Staff (planta permanente),3100000.0,2646000.0,,,No,No recibo bono,Uno,12.0,Enero,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,Developer,4,4,2,0,Ninguna de las anteriores,"Java, SQL","Next.js, Spring","Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,aumento por inflación en enero,Sí,4,4,Llegó para quedarse,Responder sobre guardias,Universitario,En curso,Licenciatura en Sistemas,UNNNE - Universidad Nacional del Nordeste,Responder sobre entrevistas técnicas,Hasta 2,"Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,"Sí, pasiva",35.0,Porcentaje de mi sueldo bruto,33,Hombre Cis,Sí,False,Semi-Senior,3100000.0
San Luis,Full-Time,Staff (planta permanente),5860000.0,4524000.0,,,No,No recibo bono,Dos,18.0,Abril,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Manager / Director,11,2,2,6,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, CSS, HTML, Javascript, Python, SQL, TypeScript","Django, Node.js, Vue.js","ElasticSearch, Google Cloud Storage, PostgreSQL","Postman, SoapUI, Visual Studio Coded UI",De 201 a 500 personas,100% remoto,0,"Si, inflacion",No,5,5,Hype,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Telecomunicaciones,,Responder sobre guardias,Hasta 2,Manager directo/a,"Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,No,0.0,Bruto,39,Hombre Cis,Sí,False,Senior,5860000.0
Santa Fe,Full-Time,Staff (planta permanente),4900000.0,39500000.0,,,Un sueldo,Performance de la compañía,No,0.0,Marzo,4,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",4,"No, pero escucho ofertas.",,Developer,7,4,2,0,"Amazon Web Services, Docker, Google Cloud Platform","Bash/Shell, Go, Java",Spring,"Amazon DynamoDB, Google Cloud Storage, MySQL, SQLite","Cucumber, JUnit, Postman",Más de 10000 personas,100% remoto,0,,No sé,9,5,Hype,Terminar encuesta,,,,,,,,,,,,,,,37,Hombre Cis,Sí,False,Senior,4900000.0
Buenos Aires,Full-Time,Staff (planta permanente),5200000.0,4000000.0,,,Menos de un sueldo,Mix de las anteriores,No,0.0,Febrero,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",2,"No, pero escucho ofertas.",,Developer,10,1,1,0,"Amazon Web Services, Google Cloud Platform, Kubernetes","CSS, Go, HTML, Javascript, TypeScript","Node.js, React.js",Ninguna de las anteriores,"Cucumber, Jest, Postman, Puppeteer",De 5001 a 10000 personas,Híbrido (presencial y remoto),1,,No sé,7,5,Hype,Terminar encuesta,,,,,,,,,,,,,,,33,Hombre Cis,Sí,False,Senior,5200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1150000.0,1150000.0,,,No,No recibo bono,Dos,3.0,Marzo,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",,Data Scientist,17,25,2,0,"Docker, Linux, OpenShift, SAP, Windows Server","C, C++, C#, CSS, HTML, Javascript, PHP, Python, SQL","Django, Flask, Node.js, SAP, SAP Hana","HANA, MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),3,,Sí,0,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,44,Hombre Cis,Sí,False,Senior,1150000.0
